id,tweet,username,created_at,random
1.26305E+18,"@TokopediaCare Kurma ajwa, kurma ambera, dan kurma khudri, kurma barhi, kurma dayri, kurma Safawi, kurma tunisia, kurma sukari, kurma kholas, kurma roshidia #NgabuburitWithLuv  #NgabuburitWithLuv sayang banget sama bang Jungkook 🥺",flyinghydrangea,2020-05-20 17:23:10 SE Asia Standard Time,0.430910331
1.26228E+18,@TokopediaCare cek lagi min,jalanjalandulu,2020-05-18 14:09:49 SE Asia Standard Time,0.627951473
1.26275E+18,"@ArisGhfari Hai Kak Aris, silakan cek DM ya. Thanks :)",tokopediacare,2020-05-19 21:26:30 SE Asia Standard Time,0.627365814
1.26261E+18,@tokopedia @TokopediaCare  https://t.co/HGTTavIgwP,juanda_mohamad,2020-05-19 11:45:01 SE Asia Standard Time,0.007975417
1.26228E+18,"@Nabilanofriana4 Menanggapi perihal tersebut, Arbhi infokan bahwa untuk untuk proses verifikasi dari PMO (tim pra kerja) saat ini masih dalam sistem manual sehingga adanya antrian untuk peserta gelombang I dan II yang belum dibayarkan insentifnya. Mohon kesediaannya untuk menunggu terlebih---",tokopediacare,2020-05-18 14:21:20 SE Asia Standard Time,0.699094151
1.26255E+18,"@TokopediaCare min, mau tanya seller sasa official dah libur gitu. barang saya ga bisa dipick up kurir terus. di messenger online tapi ga respon.",vekris2511,2020-05-19 07:48:30 SE Asia Standard Time,0.055743555
1.26183E+18,@uglypipi Hai kak cek DM yuk. :),tokopediacare,2020-05-17 08:12:44 SE Asia Standard Time,0.650162627
1.26245E+18,@TokopediaCare Kalo mau memperbaiki tolong selesaikan masalah ini!  Dari tgl 22 april sampe tgl 19 mei ga beres2. Skrg nunggu @JNECare,nuriumsiyanto,2020-05-19 01:09:27 SE Asia Standard Time,0.799998748
1.2623E+18,@adp_ras Hai Kak. Jika dicek status transaksi saat ini pesanan sudah diterima pembeli pada tanggal 18-05-2020 pukul 14:48 WIB. Mohon kesediaannya menunggu maksimal 2x24 jam sejak tanggal 18-05-2020 pukul 14:48 WIB untuk pihak pembeli melakukan konfirmasi penerimaan ya. --,tokopediacare,2020-05-18 15:30:17 SE Asia Standard Time,0.401962358
1.26305E+18,@TokopediaCare 1. Kurma Ajwa 2. Kurma Ambera 3. Kurma Barhi 4. Kurma Dayri 5. Kurma Deglet Noor 6. Kurma Halawy 7. Kurma Khudri 8. Kurma Medjool #NgabuburitWithLuv #NgabuburitWithLuv #NgabuburitWithLuv #NgabuburitWithLuv,asriievianaa,2020-05-20 17:18:37 SE Asia Standard Time,0.182100686
1.26329E+18,@TokopediaCare Bales DM min,afunandar,2020-05-21 09:21:36 SE Asia Standard Time,0.417876213
1.26368E+18,@TokopediaCare @tokopedia HALO TOKPED TOLONG KSH SOLUSI UTK PERMASALAHAN YG SDH SAYA DM,teknikonline3,2020-05-22 10:42:27 SE Asia Standard Time,0.886604159
1.26337E+18,"@TokopediaCare kalau bisa baca dengan baik pertanyaan dan permintaan saya, tolong dibantu lakukan sesuai tugas. Kalau cuman baca website kurir, gue gak akan minta tolong.",aaprillianii,2020-05-21 14:35:42 SE Asia Standard Time,0.781635974
1.26382E+18,"@Morin_Adidarma Hai Toppers, mohon maaf atas ketidaknyamanannya. Fisco infokan bahwa untuk pembayaran tagihan PBB Kab. Bogor saat ini sudah tersedia di Tokopedia ya Kak. Jika Kakak mengalami kendala pada saat pembayaran tagihan PBB Kab. Bogor--",tokopediacare,2020-05-22 19:57:18 SE Asia Standard Time,0.220508161
1.26184E+18,@TokopediaCare Iya tapi kyknya marketplace lain ga Ada biaya2 ini kalo setiap pake cc,dem_fab,2020-05-17 09:23:54 SE Asia Standard Time,0.801633619
1.2619E+18,@TokopediaCare Iya betul segitu paket saya dikirim semenjak tanggal 14 kmrn tp stuck di tngl 15 siang proses transit. Masalahnya pake saya satu lagi juga udh sampe kmrn dari @anteraja_id juga. Makanya saya mau tanya knp masih stuck aja,delluisaa,2020-05-17 13:21:36 SE Asia Standard Time,0.781090042
1.26184E+18,@anteraja_id @anteraja_id @anteraja_id @anteraja_id @anteraja_id @anteraja_id   @TokopediaCare @TokopediaCare  @TokopediaCare @TokopediaCare @TokopediaCare @TokopediaCare,abwngfatah,2020-05-17 09:14:23 SE Asia Standard Time,0.347530539
1.26257E+18,"@thebodyshopindo @TokopediaCare Alhamdulillah setelah protes sana sini dikirim juga. Setelah send hate sana sini, lelah akutu beli online bodyshop",iraaa,2020-05-19 09:06:43 SE Asia Standard Time,0.898183179
1.26303E+18,"@TokopediaCare Kurma Ajwa, kurma Medjoel, kurma sukari.   Yang Mau Parfum original silahkan mampir di  https://t.co/TZKVzCJIZr #NgabuburitWithLuv",sanfotsi,2020-05-20 16:10:11 SE Asia Standard Time,0.266441837
1.26341E+18,@TokopediaCare Via Sosialmed ( Twitter IG Facebook) Via Live Chat #NgabuburitWithLuv 💞💕,uwoooh,2020-05-21 16:54:13 SE Asia Standard Time,0.041100195
1.26303E+18,@TokopediaCare @tokopedia .,0i3060i3bts,2020-05-20 15:49:35 SE Asia Standard Time,0.334115414
1.26326E+18,"@attraversiamo_A Hai Romi Akbar, maaf ya atas kendala yang dialami sebelumnya dan terima kasih atas konfirmasinya. Terima kasih telag menghubungi Tokopedia Care. Jika ada hal lain yang ingin ditanyakan seputar Tokopedia, jangan ragu menghubungi kami kembali. Thanks :)",tokopediacare,2020-05-21 07:05:25 SE Asia Standard Time,0.450245665
1.26295E+18,"@afif_fm Hai Kak, untuk kendalanya sudah kami bantu jawab melalui DM ya. Thanks :)",tokopediacare,2020-05-20 10:30:15 SE Asia Standard Time,0.535668258
1.26376E+18,"@huwietan Hai Kak, terkait kendalanya saat ini sudah kami bantu laporkan Tim Resolusi Tokopedia Care agar dibantu penanganan di Pusat Resolusi ya. Mohon menunggu. Saat ini mohon izin menutup Pesan ini agar kendalanya lebih terarah di Pusat Resolusi ya. Semoga membantu Kak. Makasih :)",tokopediacare,2020-05-22 16:03:00 SE Asia Standard Time,0.243631901
1.26229E+18,@TokopediaCare Cek dm lagi sudah saya balas,sparkling_ducky,2020-05-18 15:07:00 SE Asia Standard Time,0.705421744
