id,tweet,username,created_at
1007047379525070848,@emshidiq @TokopediaCare THR untuk adminnya belum cair kali *peace min hehe,fajarhusyaini,2018-06-14 06:49:39 SE Asia Standard Time
1007046899034087424,"@TokopediaCare @fajarhusyaini LOL ... masih ngantuk kali ni adminnya , ga nangkep maksud masnya 🤭",emshidiq,2018-06-14 06:47:45 SE Asia Standard Time
1007046398888501248,"Mau tanya, @TokopediaCare @tokopedia , cara buat 2 toko dalam 1 akun tokopedia gimana?  @rethadanast",dartoiwan,2018-06-14 06:45:46 SE Asia Standard Time
1007043682699055109,"@TokopediaCare jangan baper dulu, ini bukan keluhan hanya sekedar ngasih tahu min",fajarhusyaini,2018-06-14 06:34:58 SE Asia Standard Time
1007037996086919168,@TokopediaCare Kenapa transaksi hadiah motor saya dibatalkan ? Ini kedua kali gagal transaksi hadiah yang didapat.  https://t.co/I3Kmj8oixe,carlosbryn_,2018-06-14 06:12:22 SE Asia Standard Time
1007037352496254981,"@abudh Hai Kak, sudah kami balas melalui DM. Yuk di cek kembali DM-nya, kami juga menyarakan Kakak untuk menghapus lampiran bukti pembayaran tersebut, agar tidak disalahgunakan oleh pihak lain ya. Thanks ^Dono",tokopediacare,2018-06-14 06:09:49 SE Asia Standard Time
1007023893322878976,"@fajarhusyaini Hai Kak, mohon maaf sebelumnya. Saat ini mohon kesediaannya untuk menginformasikan detail kendala Kakak mengenai server Tokopedia ya Kak. Thanksa ^Dika",tokopediacare,2018-06-14 05:16:20 SE Asia Standard Time
1007019130535505920,"@rrfqi Hai Kak, yuk cek DM dan fokuskan komunikasi pada DM ya Kak. Thx ^Dika",tokopediacare,2018-06-14 04:57:24 SE Asia Standard Time
1007018744411979777,"@fixieaks Hai Kak, untuk benefit promo berupa Cashback yang Kakak terima dari transaksi di Tokopedia hanya dapat dipergunakan untuk bertransaksi kembali di Tokopedia ya Kak dan dana tersebut tidak dapat dilakukan penarikan ke rekening Kakak. Thanks ^Indra",tokopediacare,2018-06-14 04:55:52 SE Asia Standard Time
1007018500181905409,"@TharaJung Hai Kak, selengkapnya sudah dibalas melalui DM. Yuk di cek lagi ya. Thanks ^Dono",tokopediacare,2018-06-14 04:54:54 SE Asia Standard Time
1007017075032784896,@TokopediaCare Cek DM min,mboksky,2018-06-14 04:49:14 SE Asia Standard Time
1007015767659802624,"@TokopediaCare permisi min mau tanya, untuk cashback yg didapat bisa dicairkan ke saldo atau hanya bisa digunakan untuk berbelanja ya? Terimakasih",fixieaks,2018-06-14 04:44:03 SE Asia Standard Time
1007013410251444224,"@TharaJung Hai Kak, silakan cek DM Kakak ya. Thanks ^Dika",tokopediacare,2018-06-14 04:34:41 SE Asia Standard Time
1007011903598678017,@burhanrosid -- memfokuskan kendala pada email Layanan Pengguna dengan nomor tiket #04466644. Thanks ^Dika,tokopediacare,2018-06-14 04:28:41 SE Asia Standard Time
1007011832236781570,@burhanrosid Mohon maaf sebelumnya Kak. Transaksi Kakak yang melanggar Syarat dan Ketentuan yang berlaku di Tokopedia adalah transaksi dengan nomor invoice IVR/20180612/XVIII/VI/58472150 yakni transaksi pembelian tiket pesawat ya Kak. Apabila Kakak memiliki sanggahan maka Kakak dapat --,tokopediacare,2018-06-14 04:28:24 SE Asia Standard Time
1007010634796421120,@TokopediaCare ini mah namanya pilih2 transaksi,burhanrosid,2018-06-14 04:23:39 SE Asia Standard Time
1007010521801900033,"@TokopediaCare aku pake kode SOBAJUNI, utk beli pulsa bisa tuh, tp giliran utk tiket pesawat gak bisa, apa karena casback tiket pswat banyak",burhanrosid,2018-06-14 04:23:12 SE Asia Standard Time
1007010136768987137,@TokopediaCare tapi kenapa hanya transaksi tiket pesawat aja??sdg utk transaksi yg lain bisa dg kode SOBATJUNI,burhanrosid,2018-06-14 04:21:40 SE Asia Standard Time
1007009925044887552,@burhanrosid -- demi kenyamanan bersama. Thanks ^Dika,tokopediacare,2018-06-14 04:20:50 SE Asia Standard Time
1007009868182708226,"@burhanrosid --  mendapatkan keuntungan promo. Informasi selengkapnya perihal Syarat &amp; Ketentuan transaksi di Tokopedia  https://t.co/1gS1WQk4Xd Untuk promo maupun transaksi Tokopedia lainnya di masa mendatang, kami mohon kerjasama Kakak untuk dapat mengikuti Syarat &amp; Ketentuan yang berlaku --",tokopediacare,2018-06-14 04:20:36 SE Asia Standard Time
1007009767448031232,"@burhanrosid Mohon maaf sebelumnya Kak. Sesuai dengan informasi kami sebelumnya, ditemukan pelanggaran Syarat &amp; Ketentuan promo pada transaksi Kakak dengan nomor invoice IVR/20180612/XVIII/VI/58472150 Pelanggaran yang dimaksud adalah partisipasi lebih dari satu akun per user untuk --",tokopediacare,2018-06-14 04:20:12 SE Asia Standard Time
1007009323283726336,"@TokopediaCare perhatian buat yg lain,khususnya yg sering beli tiket pesawat, cari lah tmpat yg bener2 ngasih diskon beneran",burhanrosid,2018-06-14 04:18:26 SE Asia Standard Time
1007008650303426560,"@TokopediaCare yang jelas saya kecewa berat sama toped kali ini,aku sering transaksi tiket pesawat, cashback gak pernah cair",burhanrosid,2018-06-14 04:15:46 SE Asia Standard Time
1006997408478318593,@arvine_conquest --boleh menunggu terlebih dahulu dan tetap fokuskan kendalanya untuk update informasi selanjutnya di Pusat Resolusi. Thanks ^Dono,tokopediacare,2018-06-14 03:31:05 SE Asia Standard Time
1006997348067758081,"@arvine_conquest Apakah Kakak sudah menerima barangnya dari pihak penjual? Karena jika kami cek di Pusat Resolusi penjual belum mengingput nomor resi pengembalian produknya ke alamat tujuan Kakak. Kami juga akan melaporkan ke tim Resolusi untuk segera merespons kendala tersebut,--",tokopediacare,2018-06-14 03:30:51 SE Asia Standard Time
