id,tweet,username,created_at,random
1.13526E+18,@indy27170825 --  Disarankan bisa berdikusi dengan pembeli terlebih dahulu dan bisa merubah pengiriman dengan kurir yang berbeda ya Kak. Thanks,tokopediacare,2019-06-03 01:46:53 SE Asia Standard Time,0.827223579
1.13396E+18,"@TokopediaCare iya ka, sudah pakai perangkat lain tapi setiap sudah memfoto bagian depan trus bagian belakang pasti kembali lagi ke perintah foto bagian depan terus, itu bagaimana ya ka?",nasipadng,2019-05-30 11:51:43 SE Asia Standard Time,0.665666575
1.13461E+18,"@bazuri7 Hai Kak Bazuri, Bulan sudah respons melalui DM ya. Yuk cek DMnya. Thanks",tokopediacare,2019-06-01 07:12:15 SE Asia Standard Time,0.784297446
1.13367E+18,"@TokopediaCare hello. Dalam heberapa jam yang lalu, saya dapet 2x ovo points mungkin secara cuma-cuma.  Jika memang bukan hak saya, saya mau kembalikan. Bisa dubantu cek?",samuel_jl,2019-05-29 16:54:39 SE Asia Standard Time,0.893646646
1.13537E+18,"@TokopediaCare tlg cek DM min , terima kasih .",zayfreeyorkchel,2019-06-03 09:33:38 SE Asia Standard Time,0.769153305
1.13435E+18,@RezkyPratomo Choky lanjutkan ya. Kakak bisa melakukan clear data/clear cache pada pengaturan smartphonenya. Clear data/clear cache dapat dilakukan dengan cara:  A. Android : Pilih Pengaturan/Setting &gt; Pilih Aplikasi &gt; Klik Aplikasi Tokopedia &gt; Klik Clear Cache/Clear Data--,tokopediacare,2019-05-31 13:48:25 SE Asia Standard Time,0.101410631
1.13362E+18,@TokopediaCare siap mksh min,windycen92,2019-05-29 13:31:29 SE Asia Standard Time,0.379375971
1.13369E+18,@ginamardiana_ Hai Kak Gina. Elka sudah respons via DM. Yuk cek DM Kak. Terima kasih,tokopediacare,2019-05-29 18:20:55 SE Asia Standard Time,0.82760236
1.1343E+18,"@TokopediaCare @TokopediaCare mohon di cek tiket  Tidak bisa menggunakan kode promo - 13392947 Hari ini batas akhir kupon hadiah dari @tokopedia yang tidak bisa dipakai, sudah sejak 3 hari yang lalu melakukan keluhan di pusat bantuan hanya saja jawabannya hanya disuruh bersabar.",yuditriana,2019-05-31 10:28:31 SE Asia Standard Time,0.509762075
1.13384E+18,"@emaETHNICS Hai Kak Ema, mohon maaf terkait ketidaknyamanannya. Felix susah respons via DM, yuk cek DM sekarang. Thanks",tokopediacare,2019-05-30 04:07:03 SE Asia Standard Time,0.579470524
1.13481E+18,"@DitaWah Selamat malam Kak Dita, mohon maaf atas ketidaknyamanannya. Boleh infokan nomor invoice dengan format IVR/2019****/XIX/**/********* atau alamat email akun Tokopedia yang digunakan untuk transaksi tersebut melalui DM, agar Tommy cek lebih lanjut. Sebagai info tambahan --",tokopediacare,2019-06-01 20:31:21 SE Asia Standard Time,0.416738821
1.13547E+18,"@fahrymovic Hai Kak Fahry, Bilal infokan untuk klaim asuransi tersebut Kakak bisa hubungi pihak KAI juga ya. Thanks",tokopediacare,2019-06-03 15:52:19 SE Asia Standard Time,0.368835646
1.13541E+18,"@TokopediaCare min kok saya udh ganti kurir jne ke sicepat , kok tulisanan nya resi di masukan sebelum pesanan baru , tp saya track di sicepat baru diinput",rotipanggang_os,2019-06-03 11:38:36 SE Asia Standard Time,0.470461359
